global,time,income_mountain_50bracket_shape_for_log
world,1818,"24214,45562,81680,144917,256329,452415,785981,1338439,2307353,4146970,7628386,13978905,25108357,43733380,70073367,100084159,128478896,144638288,142197742,122630196,92937275,65037354,42778618,26897950,16310790,9599480,5604876,3257427,1879652,1087010,637063,379691,228238,135966,80112,46963,27414,15852,8994,5006,2699,1394,712,341,172,77,30,13,0,0"
world,1819,"24249,45443,81402,144563,256015,452670,787578,1343124,2319394,4178108,7702139,14129924,25400165,44268555,70909178,101428502,130129422,146206928,143244822,122926546,92906065,64998443,42787086,26880723,16272924,9567506,5581570,3237327,1860796,1073425,628460,374236,224766,133840,78883,46308,27089,15701,8912,4972,2686,1379,713,333,170,74,30,12,0,0"
world,1820,"24318,45473,81562,145291,257498,455348,792876,1352923,2337308,4209794,7756811,14230927,25541711,44474719,71195973,101824320,130691789,146922759,144021862,123704364,93637431,65686695,43409841,27389169,16633288,9776517,5699596,3309222,1904445,1094743,636317,376438,224828,133165,78072,45594,26542,15335,8684,4843,2621,1356,699,341,173,76,34,12,0,0"
world,1821,"24160,45064,80883,143881,254913,450772,785281,1341140,2318377,4180739,7720559,14196375,25551782,44600241,71502503,102325061,131243970,147311457,144358032,124174809,94405157,66687509,44362524,28090735,17094356,10062770,5871474,3406514,1956717,1122950,651930,384834,229496,135728,79458,46321,26960,15573,8829,4917,2660,1380,713,344,171,80,29,13,0,0"
world,1822,"24505,45622,81853,145101,256914,454907,794253,1360519,2363026,4285839,7944292,14647303,26449620,46143949,73556688,104377869,132823097,147881064,144185669,123544016,93666924,66130114,44023098,27914274,17015068,10038266,5871873,3420913,1976619,1138818,663722,392098,233506,137728,80349,46705,27115,15624,8855,4936,2652,1382,715,343,169,79,28,13,0,0"
world,1823,"24656,45912,82196,145627,257635,455759,795330,1362175,2365895,4293888,7964993,14693227,26544262,46328821,73848412,104769650,133270544,148265960,144545852,123984378,94340942,67048613,44988622,28707193,17568847,10371525,6051581,3507208,2013681,1154539,670624,396278,236397,140009,82042,47827,27826,16068,9130,5110,2771,1443,743,367,176,82,33,13,0,0"
world,1824,"26174,48252,85770,151187,266934,472958,825956,1409819,2437312,4403395,8133466,14967817,26892189,46734172,74333974,105271657,133810221,148756180,144833213,124194394,94586706,67459402,45575482,29325498,18061316,10709083,6289200,3674758,2126221,1220148,706361,414255,245343,144211,83858,48630,28197,16258,9228,5151,2789,1449,750,365,174,84,29,13,0,0"
world,1825,"26092,48573,86355,151970,267845,473761,826515,1409402,2430106,4382576,8097000,14929773,26934814,46968790,74951834,106222252,135108059,150307038,146253277,125163457,95028964,67505121,45505181,29252902,18031322,10719506,6321346,3711034,2156732,1240969,719651,422345,250024,146829,85362,49482,28695,16529,9368,5225,2831,1473,761,369,173,84,25,13,0,0"
world,1826,"25600,47851,84925,149284,263430,466409,813940,1389256,2398363,4335320,8038229,14863112,26958700,47190606,75470021,107042075,136117658,151350663,147219946,125925140,95563128,67968675,45946631,29609554,18267055,10891554,6448459,3791624,2201270,1262404,730791,428721,253595,148854,86437,50046,28987,16674,9437,5253,2841,1478,766,378,178,87,26,13,0,0"
world,1827,"25382,47538,84352,148253,261931,464124,810639,1385120,2395233,4338148,8056689,14914867,27073255,47427828,75902622,107691377,137028661,152454207,148343479,126866178,96118341,68316371,46232598,29867901,18507786,11064184,6566494,3863721,2246264,1288962,744729,435583,257045,150474,87013,50143,28924,16584,9361,5221,2821,1472,776,382,178,95,28,13,0,0"
world,1828,"25444,47639,84549,148670,262672,465325,812719,1388394,2399533,4347043,8078597,14965346,27179969,47624609,76231335,108172692,137622430,153131433,149162435,127848836,97044984,69085750,46864250,30319128,18803934,11247622,6680551,3934551,2289543,1314147,758984,443644,261663,153115,88547,51018,29452,16886,9532,5315,2867,1509,786,391,183,96,33,14,0,0"
world,1829,"25839,48283,85673,150867,267015,474039,830050,1422343,2470562,4498246,8377414,15545965,28243600,49321056,78291137,110020310,138756486,153038467,148440210,127057835,96647013,69060105,47025806,30495136,18910118,11283066,6673440,3921252,2275816,1306866,755599,442311,261437,153165,88816,51307,29688,17041,9644,5376,2903,1533,800,401,190,96,40,14,0,0"
